-1,ed2327d7-0ffc-47c2-9469-9b5f01886f03(10.0.0.2),ed2327d7-0ffc-47c2-9469-9b5f01886f03(fc00::2),02efadf4-5533-4585-a51e-5ee3c40bb100(10.0.0.14),02efadf4-5533-4585-a51e-5ee3c40bb100(fc00::e),a16bb352-9891-4038-abe7-d64cc36c5b7e(10.0.0.12),a16bb352-9891-4038-abe7-d64cc36c5b7e(fc00::c),69c33fa8-2fff-40a3-8820-8bb171cf6c2f(fc00::6),3b27433b-66c5-4585-83b5-12dd0c7bcad2(10.0.0.8),3b27433b-66c5-4585-83b5-12dd0c7bcad2(fc00::8),9f7b5a24-e33e-4c7a-8f71-41c2bd58607c(10.0.0.10),9f7b5a24-e33e-4c7a-8f71-41c2bd58607c(fc00::a),1282b191-dfe6-454b-b11e-dd5fadae0787(10.0.0.18),1282b191-dfe6-454b-b11e-dd5fadae0787(fc00::12),45af6f7c-ca8d-47d9-bf21-994d5cd61a27(10.0.0.16),45af6f7c-ca8d-47d9-bf21-994d5cd61a27(fc00::10),22942d46-de9d-4ab1-96ad-581cac7604f6(10.0.0.0),22942d46-de9d-4ab1-96ad-581cac7604f6(fc00::),918e5e56-1145-4418-a208-792770432c57(10.0.0.4),918e5e56-1145-4418-a208-792770432c57(fc00::4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,51,16,9,1,2,2,29,90,29,37,17,3,8,10,8,12,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,42,53,19,13,6,7,5,19,103,33,34,30,4,14,11,9,8,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,41,53,20,15,15,21,13,27,106,34,34,17,11,15,6,11,10,10,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,41,51,22,17,16,53,13,29,104,34,36,12,22,26,11,10,13,11,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,42,50,22,18,25,96,12,29,111,36,35,7,25,21,12,8,15,8,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,45,44,23,17,20,111,11,35,110,33,31,6,20,17,13,8,13,8,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,40,51,23,20,25,111,18,39,110,34,36,11,10,15,30,10,10,10,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,39,46,23,19,27,107,26,41,111,34,34,12,20,8,22,11,12,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,41,50,24,22,18,111,23,45,112,34,27,7,17,22,31,15,13,7,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,39,52,24,20,23,120,25,45,110,35,31,6,21,23,26,17,15,6,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,46,50,24,20,26,153,22,37,113,35,33,6,21,22,15,18,17,6,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,42,50,25,20,26,153,22,30,112,35,33,3,21,11,25,16,15,17,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,48,52,30,22,11,156,23,34,111,26,26,10,20,11,13,18,16,23,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,50,47,27,22,12,110,23,44,113,24,37,6,23,12,10,18,11,23,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,40,54,21,28,12,90,23,44,112,30,26,6,26,11,10,19,12,23,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,41,33,18,25,11,82,23,45,113,19,17,6,18,12,7,21,7,23,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,55,27,25,8,21,83,21,45,112,24,14,6,33,11,8,22,10,22,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,48,26,19,10,32,83,20,51,113,32,13,5,30,18,11,17,11,20,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,58,27,22,7,18,71,20,55,111,27,8,6,15,6,10,20,12,20,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,52,22,26,13,7,68,22,59,111,24,6,8,11,7,17,20,18,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,48,21,21,18,8,66,21,69,113,33,6,10,16,8,22,18,23,20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,51,30,20,12,21,61,22,53,111,33,8,7,13,11,13,21,22,22,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,58,28,19,7,35,61,17,63,141,28,7,6,17,16,17,16,25,18,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,56,23,23,8,28,72,20,62,111,20,7,5,10,13,22,17,31,18,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,30,21,33,8,25,80,22,62,142,45,7,6,20,12,11,20,37,21,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26,21,26,12,23,72,18,75,152,54,6,8,18,7,23,20,32,21,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,23,15,33,17,28,60,17,67,131,28,5,15,12,7,28,11,32,18,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,26,18,45,6,21,61,18,60,108,27,6,11,18,6,21,15,33,17,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,20,32,3,10,61,17,66,132,42,6,7,25,10,15,15,31,18,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,52,17,23,7,10,57,17,62,108,22,6,6,11,15,27,15,36,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
