-1,e70e0d09-7154-49ff-95fd-ae3989a03441(10.0.0.18),e70e0d09-7154-49ff-95fd-ae3989a03441(fc00::12),eb322588-9bd9-449f-bef8-217314d65b14(10.0.0.10),237f9bd0-a3ef-4c0b-8e92-2768aa87a56e(10.0.0.14),237f9bd0-a3ef-4c0b-8e92-2768aa87a56e(fc00::e),283184f9-c8f2-49bb-8ca6-81d7b90f67e7(10.0.0.4),283184f9-c8f2-49bb-8ca6-81d7b90f67e7(fc00::4),ed0319ed-0262-4f62-a48b-485607df0648(10.0.0.2),ed0319ed-0262-4f62-a48b-485607df0648(fc00::2),dba9c7a2-9f23-43a9-837b-4567da9683df(10.0.0.12),dba9c7a2-9f23-43a9-837b-4567da9683df(fc00::c),cf32e475-6f14-4c7a-ab0a-339c1a0bfa3f(10.0.0.26),cf32e475-6f14-4c7a-ab0a-339c1a0bfa3f(fc00::1a),5123fbcd-2e23-40e1-a7cd-4012a2298636(fc00::16),8bda95d3-4017-4e6e-a40d-093050726c85(10.0.0.8),8bda95d3-4017-4e6e-a40d-093050726c85(fc00::8),d2afc2f3-9edc-4d82-9d34-eac5c488bacf(10.0.0.6),d2afc2f3-9edc-4d82-9d34-eac5c488bacf(fc00::6),e37288a9-17a6-481e-9be8-3db7d96e0cde(10.0.0.16),e37288a9-17a6-481e-9be8-3db7d96e0cde(fc00::10),c242f490-87a5-4cd6-8362-c2dd1fdf5628(10.0.0.0),c242f490-87a5-4cd6-8362-c2dd1fdf5628(fc00::),e7ed58ee-79af-43f6-bb5d-1034d287599a(10.0.0.20),e7ed58ee-79af-43f6-bb5d-1034d287599a(fc00::14),5ff87c38-a551-4e1b-8b1f-3eba978d8235(10.0.0.28),5ff87c38-a551-4e1b-8b1f-3eba978d8235(fc00::1c),7e716f2f-590e-4cad-b192-54d872c2ad08(10.0.0.24),7e716f2f-590e-4cad-b192-54d872c2ad08(fc00::18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,3,7,3,11,2,27,5,14,4,11,10,12,9,1,4,0,23,7,6,9,9,5,59,0,41,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,7,14,9,8,6,27,7,7,9,10,14,7,12,1,9,1,26,10,10,10,9,3,43,1,42,6,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,23,12,8,9,6,6,23,4,6,7,10,10,6,15,1,18,1,30,7,9,8,7,3,41,1,39,4,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,22,10,10,8,6,6,20,5,6,6,5,8,5,15,1,20,4,30,5,11,20,7,3,44,1,39,4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,25,6,8,8,6,7,22,5,6,6,6,10,8,6,1,21,4,38,7,11,20,7,5,41,1,41,4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,21,5,7,7,6,7,21,6,6,6,6,8,10,14,2,21,4,38,6,13,22,7,3,39,1,41,5,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20,6,7,10,5,7,21,5,5,6,15,11,6,9,3,22,4,31,5,20,21,6,3,39,2,42,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11,6,10,20,5,7,21,6,5,5,21,10,7,8,4,21,3,32,6,21,20,7,3,41,2,40,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,4,11,21,11,8,20,7,5,6,18,12,10,8,4,18,3,37,6,16,21,7,3,40,3,40,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5,5,7,18,15,8,20,7,6,6,15,16,13,11,4,18,5,37,5,13,16,6,5,35,4,42,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,6,5,10,20,16,9,17,8,5,5,20,12,12,8,5,20,3,34,6,17,18,6,8,41,4,39,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,5,5,10,16,15,9,17,6,5,6,17,8,13,12,4,18,3,36,5,16,20,11,11,38,6,39,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6,5,7,17,15,9,16,8,6,5,17,7,6,15,5,17,2,54,6,13,18,16,13,39,9,23,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3,3,8,17,16,7,15,6,6,5,18,7,10,15,4,18,3,61,15,13,17,13,12,33,9,22,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,11,5,7,17,15,8,16,6,3,3,17,12,10,15,4,17,3,63,12,12,13,13,12,28,13,24,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,12,3,6,13,13,8,15,5,13,5,17,6,8,16,4,17,3,58,15,15,15,15,12,36,10,20,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,13,5,6,15,13,10,17,7,12,3,16,5,5,13,5,15,2,57,13,12,16,13,12,30,10,22,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,6,3,7,18,12,11,16,8,15,5,16,5,13,5,6,15,3,67,16,13,16,11,15,34,6,23,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,5,3,7,17,15,11,15,9,15,3,16,13,6,6,7,13,3,65,13,13,15,13,13,24,5,29,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,5,5,7,16,13,10,16,9,15,5,16,15,4,5,8,13,2,71,15,10,10,15,12,18,7,27,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,5,3,6,16,15,11,16,9,15,5,15,15,6,6,7,16,3,60,16,11,13,13,15,28,5,24,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,5,3,6,17,15,11,16,8,16,3,16,16,7,5,8,15,3,63,17,10,10,13,13,19,10,36,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,5,3,5,16,13,12,15,9,15,5,15,16,2,8,8,16,3,67,15,10,16,12,15,18,6,26,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,3,3,5,15,16,11,15,8,15,3,15,16,5,6,8,13,3,61,17,15,16,12,12,17,12,33,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,5,3,3,16,16,13,15,10,16,3,16,16,5,6,9,16,3,62,16,16,17,13,11,33,12,26,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,3,5,5,12,15,13,16,9,15,5,15,16,6,7,8,15,3,72,16,11,15,15,12,18,8,26,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,3,3,6,15,15,13,15,9,15,3,15,15,3,6,8,15,3,66,15,3,16,12,12,17,6,30,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,5,2,7,16,12,13,13,9,13,3,13,8,5,8,8,15,3,61,16,2,16,13,11,16,3,31,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3,3,8,15,15,15,13,10,15,10,15,6,6,7,8,12,3,65,17,3,16,11,12,26,4,27,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2,3,7,10,12,15,13,9,12,16,12,5,2,8,9,12,2,67,15,3,17,11,13,20,5,27,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,5,3,7,16,12,12,12,10,12,13,12,6,6,15,7,12,2,63,16,3,13,11,12,20,5,32,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,3,2,6,13,13,12,13,9,13,13,13,6,6,12,7,13,3,66,13,2,12,13,11,23,11,26,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,3,3,6,13,12,13,12,8,11,13,11,5,6,13,9,12,2,71,15,3,13,11,11,20,11,23,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,3,3,5,13,13,10,11,9,15,12,13,2,6,13,8,12,3,68,13,3,13,13,12,22,12,22,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,3,3,5,13,15,11,15,9,13,13,13,5,3,8,10,15,3,61,13,3,13,12,12,35,10,21,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,3,2,5,15,13,12,13,12,13,15,13,13,6,8,11,13,3,62,15,3,11,15,13,20,6,35,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,3,3,5,15,15,12,13,12,15,13,15,12,2,7,11,13,3,71,15,3,10,12,13,18,8,25,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,3,3,3,15,13,11,13,12,13,15,15,6,3,13,9,13,1,67,15,3,13,15,12,23,6,23,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,3,3,6,13,13,7,13,13,15,12,13,11,3,13,11,13,3,75,13,2,12,8,12,18,2,23,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,3,3,6,15,11,10,13,11,12,12,12,10,3,7,9,13,3,60,15,5,11,10,12,20,3,31,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,3,3,6,15,11,12,12,13,13,16,13,8,3,5,12,12,3,65,13,5,13,8,12,26,6,22,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,3,3,6,13,12,13,15,11,15,12,13,7,3,3,11,15,2,50,15,3,13,13,11,47,10,17,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2,3,5,13,12,11,13,8,13,13,13,7,10,2,11,13,2,68,13,2,12,13,12,28,10,25,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,3,3,6,13,12,13,15,12,13,13,13,7,6,3,13,15,3,67,13,6,12,13,12,17,7,32,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,3,2,3,15,12,12,12,13,12,12,13,3,2,3,12,12,7,38,15,7,13,12,22,28,7,17,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,5,3,5,13,11,12,13,15,13,12,12,5,6,5,12,12,15,68,13,7,12,12,50,26,45,26,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2,2,3,15,11,15,11,13,11,11,11,3,12,2,15,11,17,58,13,7,12,8,52,28,40,23,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,3,3,2,13,11,13,12,15,11,11,11,8,7,3,11,12,22,40,13,10,13,8,65,26,18,43,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,3,2,3,13,11,13,11,12,12,10,12,10,2,3,13,12,22,32,13,10,13,11,63,50,18,31,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,3,2,5,13,11,13,12,15,12,11,11,10,8,5,12,12,20,37,13,7,12,13,52,51,20,23,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,3,3,3,13,12,13,12,12,12,11,13,8,3,6,13,12,16,41,13,10,12,12,53,48,21,26,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1,3,6,13,12,13,13,13,13,11,13,10,3,5,12,13,16,40,13,10,12,12,42,42,26,28,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,5,2,8,15,13,13,12,15,13,13,13,7,10,3,13,13,31,45,15,10,12,12,35,50,33,21,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,3,3,10,12,12,13,12,13,11,13,12,7,5,3,13,11,55,41,12,13,13,11,40,40,15,30,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,3,3,11,15,11,13,12,15,10,13,11,8,6,3,15,12,50,26,15,12,13,11,47,47,15,47,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2,2,10,10,13,12,12,12,12,11,13,8,2,6,12,12,56,25,10,12,12,13,32,55,21,40,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0,3,11,6,12,10,12,11,12,10,11,1,5,2,8,12,67,23,3,11,11,10,22,26,21,66,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,0,2,11,6,11,8,12,12,12,11,11,1,5,2,8,12,60,21,1,12,12,10,27,50,26,31,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0,3,12,5,11,11,11,12,11,10,12,0,6,2,7,11,63,38,1,11,12,10,16,56,30,31,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,0,2,16,5,13,11,12,12,12,11,12,1,6,3,8,12,63,53,2,13,13,15,23,37,26,26,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
