-1,33b60c01-716c-4b42-85ba-39b0fa9c536e(10.0.0.10),33b60c01-716c-4b42-85ba-39b0fa9c536e(fc00::a),669a2f7e-88bd-42eb-bb30-e7a1fc7cc92c(10.0.0.4),669a2f7e-88bd-42eb-bb30-e7a1fc7cc92c(fc00::4),90cd898b-d98b-47ac-8f63-21c73269a13c(fc00::1c),0d8c4451-3547-4ae7-a108-7cbc9467cdc7(fc00::12),f9ac1d46-992d-4963-b642-4a63f96b49a8(fc00::8),b40185d9-2ebb-487e-a09e-76928a49a4b5(fc00::6),93b7f78e-0f38-4c25-97d9-e151d2f02d4d(fc00::e),283f0ebb-b5a4-45ca-b9c7-6bc01468f423(10.0.0.30),283f0ebb-b5a4-45ca-b9c7-6bc01468f423(fc00::1e),c79e10b7-3ec0-4058-b9cd-d2c8a3fa96ba(10.0.0.12),c79e10b7-3ec0-4058-b9cd-d2c8a3fa96ba(fc00::c),e899c4eb-4f52-4587-adec-3970e224dcbe(fc00::1a),554b07c3-914a-4ced-8120-57c2d521fe62(10.0.0.34),554b07c3-914a-4ced-8120-57c2d521fe62(fc00::22),7659c73d-f63a-41d3-b575-694bc9b754c5(10.0.0.2),7659c73d-f63a-41d3-b575-694bc9b754c5(fc00::2),8e420752-437c-4c62-85d4-3fd8842c3eeb(10.0.0.32),8e420752-437c-4c62-85d4-3fd8842c3eeb(fc00::20),4897a9da-2bf5-46e2-ad9d-8c7db0334b02(10.0.0.16),4897a9da-2bf5-46e2-ad9d-8c7db0334b02(fc00::10),f2e2e33e-2e57-4a3d-82fe-c2bc2dedbfe3(fc00::24),91fef129-ed89-48cb-b136-d0517f9ff6b9(10.0.0.0),91fef129-ed89-48cb-b136-d0517f9ff6b9(fc00::),6eb4a2b8-3c4e-4968-b4d1-696664543964(10.0.0.24),6eb4a2b8-3c4e-4968-b4d1-696664543964(fc00::18),5d7cf9cc-0c42-4916-93b1-c7594bcf4de5(fc00::26),492d1937-ce7f-4f4c-a787-c6f65fb004dc(fc00::16),21b95926-eac8-4cca-b03d-5cd3483b1076(10.0.0.20),21b95926-eac8-4cca-b03d-5cd3483b1076(fc00::14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,10,4,5,1,7,8,4,7,2,1,2,5,1,4,1,8,2,9,9,6,5,4,10,1,12,4,5,1,2,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,12,7,1,5,8,5,6,4,2,7,8,4,6,2,9,2,7,8,10,6,10,10,2,9,7,8,2,4,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,21,10,1,3,5,3,4,6,3,6,6,7,7,3,11,4,8,8,9,9,12,11,3,10,10,7,2,4,5,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,17,7,1,7,2,3,3,7,3,5,7,5,10,4,16,6,6,6,7,11,8,5,2,15,12,5,2,3,6,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,20,5,1,10,3,2,2,10,3,5,5,7,10,3,11,4,6,5,12,8,10,10,2,20,10,6,3,3,4,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,20,8,2,8,2,3,2,10,6,5,5,5,8,3,7,5,6,2,5,10,11,3,1,20,8,6,2,6,5,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,17,7,2,10,1,1,2,8,7,5,3,5,10,3,11,3,5,4,13,8,8,2,2,21,8,3,3,8,4,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3,16,8,3,7,5,5,2,7,10,5,6,5,3,2,10,4,5,4,16,8,11,3,2,20,10,6,3,6,4,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4,17,3,5,5,5,5,2,5,0,4,1,5,2,3,10,3,5,2,20,5,18,0,2,18,3,5,2,3,4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2,17,3,4,2,6,5,5,7,0,4,5,5,1,1,11,1,5,0,10,7,18,0,0,18,3,5,1,2,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2,20,5,5,2,5,3,5,10,2,4,5,5,0,2,11,1,5,0,5,7,18,1,0,17,3,3,0,3,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2,16,6,4,2,5,5,5,7,0,5,6,5,1,2,7,1,5,0,11,8,17,0,0,17,1,5,1,2,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,18,6,5,1,6,6,6,6,1,5,6,3,1,1,8,1,5,0,11,7,17,1,0,17,2,5,1,3,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,18,5,5,2,5,5,6,5,1,3,6,5,1,1,8,1,3,2,16,10,18,1,1,16,1,3,1,3,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2,18,6,5,1,3,6,7,3,1,6,6,5,1,1,7,1,5,1,12,6,18,1,0,15,1,5,0,5,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,20,6,3,1,3,6,6,3,1,5,7,5,1,1,8,1,5,0,5,7,20,0,1,18,1,5,1,3,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2,17,6,8,1,3,6,6,5,1,3,6,4,0,1,7,1,5,1,12,6,17,1,1,18,1,5,1,2,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2,10,5,15,1,2,6,10,3,1,11,7,3,1,1,6,2,16,0,3,6,15,1,1,17,2,11,1,2,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,15,6,15,0,3,7,8,3,0,8,7,6,1,1,5,2,16,1,5,8,15,0,1,15,1,13,0,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2,12,5,13,1,3,6,8,3,1,8,7,11,1,1,3,2,13,0,12,6,11,1,1,12,1,12,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2,13,5,12,1,2,6,8,3,1,8,6,12,1,1,6,2,12,1,12,7,12,1,1,12,0,11,1,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2,15,6,15,1,3,6,10,5,1,10,6,15,1,1,3,2,15,0,11,5,15,1,1,11,1,13,1,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,13,6,13,1,3,6,10,3,1,11,6,13,1,0,5,3,13,0,13,3,13,1,1,12,1,12,1,2,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2,15,6,15,1,3,6,10,3,1,11,6,15,1,1,5,2,12,1,6,5,12,1,1,12,1,13,1,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2,13,7,13,1,5,8,21,6,1,13,8,13,1,1,5,2,13,0,3,6,15,1,1,13,1,15,0,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,3,15,6,15,1,5,8,21,5,1,8,8,15,2,2,5,3,15,1,2,5,15,1,2,15,1,13,2,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,3,13,7,15,2,5,7,18,6,2,3,7,13,1,1,3,3,13,1,6,6,15,2,3,13,1,15,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,4,15,7,15,2,5,7,20,6,1,3,6,15,3,2,3,3,15,1,11,5,13,1,4,15,2,15,1,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,4,15,6,13,1,6,7,11,3,1,4,5,15,2,2,5,4,13,1,8,2,8,2,4,13,1,13,2,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,6,16,3,17,0,2,5,13,2,1,7,3,16,0,0,6,4,16,0,6,2,5,1,4,15,0,8,0,1,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,6,17,5,16,1,2,6,11,3,1,7,5,16,1,1,7,4,16,0,5,2,3,0,4,16,1,8,1,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,6,15,3,17,1,2,6,12,1,0,6,6,13,1,1,5,5,17,0,10,1,3,1,4,15,1,11,0,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,7,16,2,16,1,1,6,12,1,1,3,6,17,1,1,8,5,16,0,6,1,5,1,3,16,1,12,1,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,7,15,3,15,1,1,7,11,2,1,11,6,13,1,1,10,7,16,0,3,1,3,1,3,15,1,12,1,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,11,15,3,12,1,1,6,11,1,1,11,6,13,1,1,3,7,15,0,10,1,3,1,3,15,1,11,1,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,12,13,2,12,1,1,6,12,1,1,12,3,13,1,1,7,6,12,0,7,1,3,0,2,12,0,12,1,1,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,12,13,3,12,0,1,6,11,2,0,10,5,15,1,0,2,6,15,1,5,1,3,1,3,13,1,13,1,1,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,12,12,3,12,1,1,6,12,1,1,11,3,15,1,1,6,7,13,0,3,1,3,1,2,15,1,12,1,1,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,12,8,2,10,1,0,6,11,1,1,6,5,11,0,1,3,7,15,0,3,1,3,1,3,13,1,10,0,0,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,11,7,3,11,1,1,6,11,1,1,7,5,12,1,1,6,6,10,0,2,0,2,1,3,11,1,10,1,1,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,12,8,3,10,1,1,7,11,1,1,7,3,11,1,1,5,7,13,0,11,1,3,1,3,11,1,11,1,1,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,13,13,5,11,1,1,6,12,1,0,10,5,13,1,1,7,7,8,0,10,1,2,1,3,11,1,12,1,1,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,11,13,3,11,1,1,6,11,1,1,7,3,15,1,0,7,6,10,0,2,1,3,0,3,12,0,13,1,1,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,12,11,6,11,0,1,6,11,1,1,8,2,13,1,1,3,6,12,0,5,1,2,1,3,15,1,12,1,1,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,12,13,6,13,1,1,6,11,1,1,8,3,13,0,1,8,6,11,0,6,1,5,1,3,13,1,12,1,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,12,13,6,10,1,0,6,11,1,1,11,2,15,1,1,6,6,11,1,8,1,3,1,3,12,1,13,1,1,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,12,15,6,11,1,1,6,11,1,1,5,2,13,1,1,3,5,12,0,3,1,3,1,3,15,1,15,1,1,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,12,16,5,10,1,1,6,11,1,0,6,3,16,1,1,8,6,13,0,5,0,3,1,3,12,1,15,1,1,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
