-1,26690f81-a114-40f8-9d20-c62aa61051b2(10.0.0.6),26690f81-a114-40f8-9d20-c62aa61051b2(fc00::6),2e088871-679e-483c-91cd-5d45bdd73d66(10.0.0.2),2e088871-679e-483c-91cd-5d45bdd73d66(fc00::2),cc5f4d39-0f69-4e09-9f9c-b651db22ac97(10.0.0.4),cc5f4d39-0f69-4e09-9f9c-b651db22ac97(fc00::4),0045573e-3d9a-43a2-8599-8d691e8d8b05(10.0.0.8),0045573e-3d9a-43a2-8599-8d691e8d8b05(fc00::8),6d135e12-ee8c-499c-8d21-9cde080df895(10.0.0.0),6d135e12-ee8c-499c-8d21-9cde080df895(fc00::),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,37,36,27,27,7,21,46,19,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,33,40,37,9,32,7,24,57,17,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,31,42,41,18,35,13,26,81,17,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,43,41,21,35,15,28,78,16,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,16,45,43,23,37,18,29,75,17,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,20,44,36,26,41,25,32,66,18,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,18,49,35,26,43,26,31,66,18,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,23,47,36,30,37,28,29,57,16,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,28,49,39,31,39,27,28,56,17,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,17,50,40,31,39,28,28,52,42,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,21,46,43,33,41,30,26,46,40,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,26,50,46,34,42,31,26,45,35,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,30,47,46,37,39,33,27,41,30,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,26,41,47,43,39,40,23,26,31,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,16,42,50,43,35,38,28,32,40,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,10,40,50,28,36,19,25,41,26,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,11,31,53,14,31,15,24,28,27,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
