0,7edea0ec-68ec-4737-9025-ce8f670250ff,356ce994-b332-4313-b864-c85d588eb728,e2af8a8c-c2d5-487f-a3e3-dda466ff1b38,44a1e60e-2ef4-422a-9198-9a5d68d9a6da,cee123d4-c0bd-4544-a307-a70b4fa73402,132db456-0c75-45f1-a450-8f64e6d9923f,ffb088b8-1f73-424c-8b93-e6aef17b4d02,77f343bc-8837-4c4c-b64a-45862d97132e,a7ee061b-e686-4fa4-ba26-3a67fd43b1d6,8f749b89-aeab-49a4-a43a-efcd06847fb7,fe36da89-9e82-4a8d-a20a-3c2900a500a6,bd05c739-30d2-4f1b-85a1-6facbb6c5a64,4a6b9d5b-7417-44a1-a281-4a5b45e903b8,ba4b7c0e-f4a7-4c90-8d35-e1cc5774f4ef,23f602d8-a3cc-4168-9b9c-14fe00b41c0a,,,,,,,,,,,,,,,,
1,2.9275 ,4.3186 ,6.7245 ,9.4481 ,6.1588 ,3.3469 ,9.9487 ,11.0829 ,5.9535 ,9.2389 ,8.6406 ,4.5102 ,7.0373 ,5.1815 ,10.5963 ,,,,,,,,,,,,,,,,
2,4.8483 ,5.7909 ,9.2751 ,8.3048 ,9.1069 ,4.3068 ,9.1882 ,11.1436 ,7.0031 ,10.1226 ,11.0489 ,3.5622 ,9.3974 ,5.8293 ,8.3205 ,,,,,,,,,,,,,,,,
3,1.8497 ,1.7218 ,6.7905 ,.6362 ,9.9101 ,9.3081 ,10.0245 ,1.9289 ,8.2267 ,8.2651 ,1.7507 ,5.6541 ,2.5360 ,2.7725 ,,,,,,,,,,,,,,,,,
4,2.5861 ,4.6493 ,9.1719 ,5.2806 ,2.0413 ,9.1354 ,10.9669 ,4.7499 ,8.6546 ,8.5186 ,2.0007 ,9.4631 ,4.8365 ,5.5622 ,,,,,,,,,,,,,,,,,
5,7.1913 ,1.9236 ,2.1164 ,8.9703 ,10.3343 ,11.2220 ,3.0579 ,9.1534 ,9.0903 ,10.1472 ,1.2592 ,.8355 ,10.1103 ,,,,,,,,,,,,,,,,,,
6,10.3189 ,3.6021 ,4.1587 ,9.2001 ,7.3520 ,10.8257 ,1.9445 ,9.8388 ,9.1833 ,.5843 ,3.3444 ,2.4889 ,.8442 ,,,,,,,,,,,,,,,,,,
7,11.1229 ,9.8459 ,8.4069 ,11.1718 ,8.2505 ,10.8401 ,8.0188 ,10.4354 ,10.5599 ,7.6347 ,11.3071 ,1.4295 ,,,,,,,,,,,,,,,,,,,
8,.1970 ,1.1106 ,8.9337 ,10.6253 ,9.5510 ,1.4737 ,9.1379 ,8.5519 ,10.0258 ,10.1257 ,1.2116 ,1.5129 ,,,,,,,,,,,,,,,,,,,
9,8.9490 ,8.3625 ,8.8330 ,6.3680 ,10.0985 ,5.8243 ,10.6363 ,9.1718 ,3.4859 ,9.1346 ,9.3433 ,,,,,,,,,,,,,,,,,,,,
10,9.4209 ,9.5388 ,9.0666 ,8.3175 ,10.1109 ,8.2098 ,9.5988 ,9.7988 ,5.4000 ,9.6279 ,10.6968 ,,,,,,,,,,,,,,,,,,,,
11,4.7469 ,8.1055 ,7.2424 ,8.8290 ,6.0601 ,9.0792 ,9.4327 ,.8517 ,5.8328 ,8.3072 ,,,,,,,,,,,,,,,,,,,,,
12,7.3400 ,9.1139 ,8.0860 ,9.7106 ,7.0360 ,10.1364 ,9.9675 ,2.1488 ,7.8455 ,10.8814 ,,,,,,,,,,,,,,,,,,,,,
13,4.4718 ,8.0169 ,7.4706 ,4.8743 ,9.0833 ,9.7099 ,.9717 ,8.2091 ,.6078 ,,,,,,,,,,,,,,,,,,,,,,
14,5.7593 ,9.3685 ,8.3660 ,4.9192 ,9.1492 ,8.4021 ,2.5883 ,.4069 ,11.0609 ,,,,,,,,,,,,,,,,,,,,,,
15,9.5382 ,9.4693 ,6.7638 ,10.2829 ,9.1638 ,9.1072 ,1.0813 ,6.4887 ,,,,,,,,,,,,,,,,,,,,,,,
16,9.1649 ,8.0006 ,5.8018 ,8.7940 ,10.6054 ,11.1194 ,3.1161 ,9.3335 ,,,,,,,,,,,,,,,,,,,,,,,
17,11.1495 ,10.5572 ,9.4955 ,9.0002 ,4.5929 ,10.3011 ,11.5426 ,,,,,,,,,,,,,,,,,,,,,,,,
18,11.4762 ,3.5841 ,9.0545 ,10.0677 ,4.7936 ,11.0489 ,.7843 ,,,,,,,,,,,,,,,,,,,,,,,,
19,4.1343 ,7.3469 ,11.1118 ,7.0688 ,8.0669 ,8.5151 ,,,,,,,,,,,,,,,,,,,,,,,,,
20,5.8378 ,9.0179 ,9.0545 ,8.1036 ,8.3792 ,8.5647 ,,,,,,,,,,,,,,,,,,,,,,,,,
