0,792c2b67-1f64-4b9f-84b5-578a4b23a957,d8021f3d-3d18-41b5-9990-0466dd50d3f7,3c62b692-8720-4f17-b8da-dc9a6bdef2fe,faef734a-d1f0-48f5-928f-3881918ef783,5d3f882a-6a59-4bb8-ac90-c5ff22bc60ad,229519eb-e577-4121-acdd-93aa9985d4b9,3f59ae03-0556-4f35-ab35-7ab44042c5d7,2b7aaf6c-5809-488c-abba-2c3fe1f8ec90,96b781ae-b081-43d9-a80b-26e8b6a45aae,93b54b3f-e27d-43be-93cc-425be2035e36,77dd497f-da07-47a5-9f97-ebd47332a38a,16118726-8873-4141-a975-c41773940eff,446df249-a3a8-4aa8-89a6-921e6966cca7,38a2da18-6489-4ea8-a7e7-3f1180d82951,7ece3358-2042-4278-b724-9e6d52ddae19,96ef7e04-feb7-4290-b1d5-8fa735ccba39,4d370946-fda1-4f80-a7eb-7d2f38ad58bb,324afdbd-4fe9-4d76-a0d6-b31677c60236,7ab403f9-6bb7-45d1-b952-3b108144dddc,b7541de6-b144-4ff1-b4c3-7a524dc294cd,,,,,,,,,,,,,,,,,,,,,
1,3.1841 ,5.3466 ,.4853 ,4.6483 ,4.2729 ,4.6482 ,.1888 ,8.1156 ,.2275 ,3.1739 ,.1992 ,.1891 ,.1861 ,11.3363 ,3.3656 ,9.2103 ,8.3626 ,9.7291 ,7.7109 ,8.0160 ,,,,,,,,,,,,,,,,,,,,,
2,4.6055 ,6.9098 ,.2457 ,4.5881 ,5.3162 ,3.7227 ,.1844 ,10.2308 ,2.6625 ,1.8382 ,10.7867 ,1.6899 ,.1813 ,.2324 ,2.9399 ,8.9867 ,9.8150 ,10.6969 ,8.8763 ,.0792 ,,,,,,,,,,,,,,,,,,,,,
3,1.7668 ,11.4994 ,.1995 ,3.7348 ,.3175 ,1.3123 ,7.3232 ,9.1581 ,8.9984 ,9.0412 ,9.0576 ,.2003 ,.1995 ,.1887 ,11.3891 ,.0948 ,8.0250 ,8.9692 ,1.0395 ,,,,,,,,,,,,,,,,,,,,,,
4,3.0763 ,12.4579 ,4.6217 ,3.9755 ,1.9359 ,2.0318 ,8.1414 ,.1193 ,11.2576 ,.2337 ,10.2925 ,.1842 ,.1999 ,.2069 ,.2207 ,2.6199 ,8.1712 ,.1424 ,2.9196 ,,,,,,,,,,,,,,,,,,,,,,
5,9.1267 ,6.8497 ,1.9093 ,10.0922 ,.1153 ,7.4734 ,3.4448 ,.1874 ,1.3638 ,3.6703 ,4.2195 ,.2634 ,.1881 ,8.8367 ,5.4967 ,7.8414 ,2.7870 ,.1401 ,,,,,,,,,,,,,,,,,,,,,,,
6,10.2325 ,9.9134 ,2.1299 ,10.8236 ,.1866 ,6.2561 ,4.1366 ,10.7256 ,.2027 ,3.3494 ,7.7023 ,.2135 ,2.8401 ,8.0036 ,7.4781 ,.1353 ,5.2269 ,3.5578 ,,,,,,,,,,,,,,,,,,,,,,,
7,4.5852 ,10.1811 ,.3009 ,8.6194 ,4.0549 ,1.7485 ,.1542 ,1.6368 ,.2382 ,9.1879 ,6.4812 ,11.6637 ,10.7187 ,11.4817 ,3.7799 ,7.1051 ,.0979 ,,,,,,,,,,,,,,,,,,,,,,,,
8,5.7562 ,4.6463 ,.3660 ,9.2549 ,5.1259 ,2.9481 ,2.0329 ,1.6853 ,11.6257 ,10.9821 ,3.9137 ,1.7664 ,10.5247 ,3.2179 ,6.9801 ,8.8581 ,.1129 ,,,,,,,,,,,,,,,,,,,,,,,,
9,7.8907 ,7.9798 ,.2124 ,2.0281 ,.2343 ,1.8081 ,1.9592 ,2.0927 ,1.3499 ,10.5136 ,8.0016 ,.3963 ,9.9396 ,5.0414 ,2.8167 ,1.4601 ,,,,,,,,,,,,,,,,,,,,,,,,,
10,7.8555 ,9.2935 ,.2149 ,3.0811 ,.1982 ,1.3966 ,7.5579 ,2.8195 ,4.8253 ,1.9417 ,10.2814 ,10.7185 ,1.4923 ,7.5041 ,6.3999 ,1.9593 ,,,,,,,,,,,,,,,,,,,,,,,,,
11,4.6723 ,9.9972 ,7.6935 ,5.6475 ,.2033 ,.1861 ,.1879 ,.2279 ,2.0006 ,.2276 ,.1337 ,3.9095 ,1.6653 ,4.9124 ,3.2315 ,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6.1822 ,.2132 ,8.0239 ,8.6298 ,.1693 ,3.0185 ,2.2868 ,.1824 ,6.0508 ,.2336 ,10.2656 ,5.7173 ,3.8628 ,1.9329 ,4.8272 ,,,,,,,,,,,,,,,,,,,,,,,,,,
13,8.5835 ,.1435 ,6.5217 ,.1825 ,9.4402 ,1.7822 ,4.7081 ,1.9244 ,3.0086 ,1.9463 ,9.9045 ,7.9822 ,6.4751 ,.2743 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7.8489 ,2.8363 ,8.3899 ,.1882 ,10.5808 ,.1907 ,7.8679 ,.2218 ,5.7611 ,.1929 ,3.9389 ,10.9249 ,10.3749 ,1.1600 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,.1536 ,3.2327 ,10.0725 ,4.3421 ,.1763 ,10.2545 ,8.4937 ,8.3273 ,4.3691 ,9.0091 ,2.3600 ,2.7638 ,8.7282 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2.4333 ,6.8459 ,.2721 ,6.2389 ,.2290 ,.2397 ,9.2535 ,10.3654 ,1.9206 ,1.4330 ,6.1860 ,4.4345 ,1.7099 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,5.4230 ,.2063 ,.4338 ,.1703 ,8.0647 ,5.2679 ,10.9281 ,8.2762 ,8.8905 ,1.4391 ,5.4289 ,4.5136 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,4.0324 ,9.2512 ,1.4784 ,.1860 ,8.8438 ,7.2026 ,10.0225 ,7.9419 ,1.3977 ,4.2322 ,6.7554 ,7.2820 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,10.7494 ,.3828 ,2.9241 ,4.4559 ,1.8934 ,.4238 ,10.1103 ,1.8446 ,8.5480 ,6.2712 ,.8942 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,.1024 ,.1759 ,4.8094 ,4.8738 ,3.6401 ,.2209 ,.1219 ,2.3280 ,10.3129 ,6.5325 ,1.6248 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.9823 ,11.3584 ,9.5492 ,9.1159 ,.4065 ,11.0189 ,3.9489 ,10.1827 ,2.0731 ,2.4601 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2.0086 ,.3955 ,9.7959 ,.2333 ,.1932 ,.4297 ,6.6240 ,3.8467 ,4.2097 ,4.6266 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,4.4638 ,9.0754 ,.1819 ,8.4604 ,9.5462 ,.6647 ,10.8405 ,5.3340 ,2.7761 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,6.7022 ,7.4938 ,1.9974 ,11.4642 ,1.1071 ,6.8493 ,.1969 ,9.3654 ,2.9089 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.4722 ,.1811 ,.1860 ,1.2432 ,.2254 ,9.7383 ,2.8403 ,8.6003 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.9419 ,11.0516 ,1.8171 ,9.8435 ,2.5912 ,9.2659 ,4.3062 ,9.7180 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,11.2509 ,5.2329 ,3.7812 ,10.4875 ,2.9273 ,2.6109 ,3.2716 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.3477 ,7.4225 ,3.7477 ,.1796 ,5.4892 ,.1861 ,.1330 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,9.9561 ,5.9856 ,4.0711 ,1.4734 ,1.4754 ,2.2227 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,.2036 ,6.2319 ,6.9258 ,4.5023 ,4.9046 ,1.5283 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,9.6692 ,.1954 ,6.8551 ,10.2632 ,6.3458 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,10.6619 ,1.8229 ,7.7676 ,2.0536 ,3.3601 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,5.5773 ,9.0551 ,9.3542 ,3.1293 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,7.4991 ,2.0408 ,1.5439 ,4.6073 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,9.7744 ,2.0642 ,2.4689 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0679 ,2.6594 ,3.2299 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,8.5469 ,5.5568 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,10.3657 ,7.6982 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,5.5748 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,5.8967 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
