0,4d1fc19a-57eb-49af-9120-8236068baba7,6969aea2-5ce9-48bf-b8fa-4fbbed307391,019de447-a77c-4bf2-b24c-43d9328f5d27,dc538101-5e9c-4da8-8158-ed33aff8fd00,9d91d5a6-b530-4df3-948d-cd17d758753b,5d7b42cf-277d-4236-9ac7-1caac2a98739,a16269a4-e7c1-41ef-86fa-73e1ffc5b82e,6f8f5ad1-8db0-405a-800d-be4ff6d258e0,a9919787-502d-4bbc-8e18-73005e6841a9,5309b2ec-049f-47d2-81d1-32c8bc4b341b,247dfd92-c285-49ba-820a-82598722a33a,53aa8499-5253-4745-99fc-70d28456c0eb,5dfc8ef8-7c8e-424b-8963-0661f5be6fdb,248fc774-2e1a-4ccf-aebf-89caf86b4cb9,56f574fc-f708-4b49-9268-e68c58ab4203,e5d23b9d-679d-4adf-a319-be7e547fd561,34350ddb-3af9-4e8f-b809-a69ea0ac24e2,7b306fe2-ee31-4a41-ae71-fd404a2c670a,14eea4de-3d76-4fb6-94c3-a0ee1a61ef25,d041a6bc-9537-4a0d-b998-546ebd9c49d7,11c068a8-7498-41dd-b86c-a97135acfc8e,be2182ed-6b76-4888-98df-bd4a00f31a53,,,,,,,,,,,,,,,,,,,,,
1,10.8361 ,3.4604 ,8.9282 ,.3358 ,8.7422 ,9.6512 ,3.3850 ,3.7979 ,7.5187 ,9.8177 ,.0915 ,4.7637 ,1.8800 ,7.3257 ,10.8803 ,9.7044 ,9.7062 ,5.9371 ,.4614 ,9.5492 ,.1726 ,8.8114 ,,,,,,,,,,,,,,,,,,,,,
2,9.5144 ,3.8689 ,9.9469 ,1.6525 ,10.5669 ,8.9583 ,3.0981 ,2.7460 ,2.7643 ,10.6685 ,3.3570 ,6.8945 ,1.3984 ,9.8483 ,2.0057 ,8.7118 ,.6499 ,6.6916 ,2.1468 ,9.9432 ,1.5382 ,8.2134 ,,,,,,,,,,,,,,,,,,,,,
3,5.7377 ,8.6137 ,9.5578 ,8.4508 ,9.5801 ,.5528 ,1.1889 ,4.4986 ,7.7639 ,9.8378 ,9.7356 ,7.0820 ,10.2382 ,1.9461 ,8.9861 ,10.2071 ,7.2285 ,4.6471 ,10.4977 ,9.2303 ,,,,,,,,,,,,,,,,,,,,,,,
4,7.0552 ,8.3602 ,9.8711 ,8.6349 ,9.5574 ,1.4927 ,2.6449 ,6.6731 ,9.6079 ,.2042 ,8.8102 ,10.4899 ,9.8745 ,13.4113 ,9.9965 ,9.4593 ,10.7511 ,6.3574 ,9.2533 ,9.5316 ,,,,,,,,,,,,,,,,,,,,,,,
5,9.7089 ,6.3858 ,9.9471 ,9.6445 ,5.6916 ,1.6742 ,9.1313 ,9.5061 ,5.6779 ,1.4474 ,8.9819 ,8.4509 ,11.2054 ,9.0585 ,4.5359 ,10.1334 ,9.3958 ,11.5707 ,.2086 ,,,,,,,,,,,,,,,,,,,,,,,,
6,9.4098 ,7.4986 ,9.7306 ,9.6642 ,6.3034 ,2.3450 ,9.0891 ,9.9299 ,7.5441 ,2.7909 ,9.9288 ,6.3393 ,9.1304 ,10.4691 ,6.7373 ,1.7277 ,9.0970 ,.5985 ,10.0828 ,,,,,,,,,,,,,,,,,,,,,,,,
7,5.5519 ,.5323 ,3.5684 ,9.0269 ,1.1339 ,6.6663 ,6.6026 ,2.3238 ,9.9928 ,4.8519 ,8.4075 ,.8673 ,8.3093 ,4.4043 ,8.7308 ,1.3036 ,9.2326 ,6.7677 ,,,,,,,,,,,,,,,,,,,,,,,,,
8,6.4926 ,.5636 ,1.8948 ,4.6881 ,1.8839 ,8.1171 ,6.9086 ,4.0399 ,9.5611 ,5.6652 ,8.5166 ,.9113 ,6.6125 ,7.0239 ,8.8132 ,3.8096 ,4.0354 ,.4532 ,,,,,,,,,,,,,,,,,,,,,,,,,
9,8.9845 ,10.1236 ,5.0605 ,1.9230 ,5.9683 ,10.1876 ,11.3490 ,6.9509 ,8.4446 ,1.4936 ,8.9834 ,1.6250 ,.2039 ,2.9433 ,6.8724 ,7.5938 ,8.6130 ,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.8463 ,1.2576 ,8.1228 ,1.8118 ,5.8251 ,8.7077 ,1.7129 ,.2795 ,1.6738 ,5.1332 ,9.5936 ,2.3999 ,1.7631 ,2.9205 ,8.1475 ,8.8207 ,9.9473 ,,,,,,,,,,,,,,,,,,,,,,,,,,
