0,cf72917a-e519-422b-bbf6-e73705342ed7,d7b11c8a-eea3-447f-8a48-23e0703ef8e4,5df643cf-739c-4aa9-b11e-29a236973908,a924b51b-03b5-4f1c-b656-70671b31e63b,e482d1e5-17b1-42d0-8b0f-47890a23f77a,9d0743ce-451b-4b84-96b5-791c8f28ec87,93b65b8f-c1a5-4dbe-897d-f997e4a8e812,fd0f6381-bfd4-49a5-b318-32db619dc018,2f626b70-4403-4141-a94d-3e26722c605e,4eff59f5-39f8-4c0e-9a7b-f3ade41091e3,004ecaf0-f56f-4d68-ad0e-317a00ec9750,ff627a9a-c922-4f6a-8f79-6ab9d8c39145,22c11a8f-6321-48ad-a9eb-2da39d478f05,52de094a-30c7-4ce3-bcfe-101c7df03e3a,1672f349-2dd3-4bbe-ab8c-9381b5480b7a,71f31b43-2240-4cdd-bf73-566afc6329f2,a37fffae-27dc-4a7f-9cac-aac98e6c449a,070b7a0d-ec98-464b-b3f4-2d1842e0ecfe,d6b4de57-cff0-45b6-a247-924272707844,6285b1cb-cb1d-4bc7-8a99-743285fdfe5d,713f1861-5a1c-4ea4-b580-263eb8353dba,71042f86-809b-4509-ac8f-0e382f744275,1b546006-7ca6-4dd0-9c8f-2eb7c0913335,c5925702-ea74-49c1-af15-59f3d1400756,,,,,,,,,,,,,,,,,,,
1,10.1269 ,2.5825 ,10.6299 ,9.7707 ,8.8003 ,1.1503 ,3.1336 ,1.8231 ,.9285 ,9.8319 ,8.5824 ,7.6900 ,3.4935 ,8.5117 ,1.4848 ,9.8313 ,.8886 ,9.7439 ,.1775 ,9.4824 ,2.5538 ,.4311 ,1.8546 ,1.9842 ,,,,,,,,,,,,,,,,,,,
2,1.8202 ,3.0823 ,1.7220 ,11.0183 ,9.9158 ,3.5514 ,3.9013 ,9.6227 ,10.0567 ,9.9183 ,10.1734 ,9.7185 ,7.1003 ,.1134 ,2.6723 ,1.3035 ,2.6965 ,9.6081 ,8.9322 ,9.0734 ,3.2917 ,.2602 ,4.9919 ,4.5772 ,,,,,,,,,,,,,,,,,,,
3,3.1552 ,9.5071 ,10.8114 ,10.0506 ,2.6601 ,3.9031 ,10.8426 ,7.5033 ,.1130 ,7.5926 ,3.3547 ,10.7973 ,2.4167 ,8.9589 ,5.8435 ,5.5128 ,9.9665 ,1.2107 ,7.0609 ,1.3679 ,3.1219 ,.8973 ,,,,,,,,,,,,,,,,,,,,,
4,5.5067 ,.4441 ,10.8796 ,9.9310 ,.1829 ,7.0531 ,9.7046 ,8.7042 ,.2950 ,9.7300 ,6.2944 ,1.0418 ,5.9899 ,8.9846 ,6.7238 ,3.4878 ,.4185 ,1.6549 ,10.3811 ,3.5643 ,2.0165 ,4.3459 ,,,,,,,,,,,,,,,,,,,,,
5,6.1636 ,10.7888 ,7.0300 ,10.2512 ,.1126 ,2.9117 ,10.8391 ,9.6330 ,10.9652 ,10.7545 ,7.0735 ,9.9245 ,.6277 ,.8203 ,1.6534 ,9.7078 ,.3247 ,3.8999 ,.5769 ,.3620 ,6.1176 ,,,,,,,,,,,,,,,,,,,,,,
6,9.8032 ,.3635 ,7.9096 ,3.0259 ,.2097 ,2.7923 ,9.7414 ,9.8499 ,10.0973 ,2.4721 ,8.4670 ,1.4337 ,9.5160 ,3.4546 ,.3773 ,9.5396 ,9.6282 ,6.9838 ,2.5945 ,2.1513 ,8.9084 ,,,,,,,,,,,,,,,,,,,,,,
7,1.6265 ,.5082 ,8.1244 ,4.2965 ,.2169 ,8.6399 ,2.1263 ,9.8238 ,6.6269 ,4.0817 ,9.4683 ,6.8504 ,2.5553 ,2.7118 ,9.5405 ,.1728 ,9.1789 ,5.3985 ,2.7206 ,4.5074 ,,,,,,,,,,,,,,,,,,,,,,,
8,4.5224 ,10.6092 ,10.5520 ,3.2911 ,.2282 ,10.0885 ,2.7009 ,.5236 ,8.0993 ,5.6221 ,1.4383 ,8.6579 ,4.4317 ,1.8267 ,9.9268 ,9.6593 ,10.9353 ,8.6430 ,3.1598 ,7.2812 ,,,,,,,,,,,,,,,,,,,,,,,
9,5.1211 ,10.3913 ,8.9389 ,11.1556 ,9.3756 ,9.8471 ,8.3461 ,5.9818 ,1.3606 ,8.9268 ,.0914 ,2.9836 ,1.3558 ,4.3212 ,10.7769 ,2.0296 ,6.0347 ,9.9812 ,2.9876 ,,,,,,,,,,,,,,,,,,,,,,,,
10,6.8125 ,2.7637 ,11.0586 ,9.1182 ,.2239 ,.3879 ,9.8155 ,6.7056 ,1.2324 ,.2657 ,9.6259 ,2.5862 ,2.4374 ,7.2270 ,.1950 ,2.0581 ,8.0629 ,.2474 ,5.0826 ,,,,,,,,,,,,,,,,,,,,,,,,
