0,7348794c-3e76-457a-b3b6-28c3ea10cfc6,316dfc60-79a3-4b08-b6f3-986b2535d585,520d5316-de64-4909-92f0-a052c59c48b2,c0e8834c-0dcd-4f1d-8405-c9d6cee45ce0,75151e93-34be-476d-8f7e-6a9cf88b2050,,,,,,
1,7.6713 ,10.4323 ,3.8532 ,.5409 ,8.0305 ,,,,,,
2,8.2394 ,10.6532 ,6.7730 ,3.1851 ,9.4996 ,,,,,,
3,7.0242 ,3.1404 ,10.8399 ,7.8247 ,,,,,,,
4,8.5901 ,3.7081 ,10.0419 ,8.8858 ,,,,,,,
5,8.1021 ,7.9856 ,5.5327 ,,,,,,,,
6,8.4623 ,8.6355 ,6.9492 ,,,,,,,,
7,4.5255 ,3.9359 ,,,,,,,,,
8,5.7113 ,4.6093 ,,,,,,,,,
9,1.4511 ,,,,,,,,,,
10,2.6098 ,,,,,,,,,,
